epoch,train_mae,train_rmse
1,0.11380049586296082,0.254517138004303
2,0.08352553099393845,0.19696570932865143
3,0.06852996349334717,0.1658461093902588
4,0.059000659734010696,0.1444389969110489
5,0.0522632822394371,0.128457173705101
6,0.047029200941324234,0.11595797538757324
7,0.04287239909172058,0.10588110238313675
8,0.03947881981730461,0.09756174683570862
9,0.03662776201963425,0.09056942909955978
10,0.03423498943448067,0.0846056342124939
11,0.03218783438205719,0.07945035398006439
12,0.030402474105358124,0.07493031024932861
13,0.02883077971637249,0.0709141343832016
14,0.02744908817112446,0.06733124703168869
15,0.026215597987174988,0.06411495804786682
